ip,abuseConfidenceScore,levels
23.92.16.125,0,AbuseIPDB
124.158.158.62,0,AbuseIPDB
213.87.46.68,0,AbuseIPDB
176.109.73.19,0,AbuseIPDB
124.158.158.50,0,AbuseIPDB
193.192.100.10,0,AbuseIPDB
183.230.127.25,0,AbuseIPDB
104.225.42.1,0,AbuseIPDB
208.80.125.4,0,AbuseIPDB
104.225.42.129,0,AbuseIPDB
202.234.232.222,0,AbuseIPDB
195.175.37.37,0,AbuseIPDB
89.218.37.139,0,AbuseIPDB
213.251.128.147,0,AbuseIPDB
150.171.16.34,0,AbuseIPDB
162.125.40.4,0,AbuseIPDB
23.140.248.31,0,AbuseIPDB
208.91.113.63,0,AbuseIPDB
13.107.222.38,0,AbuseIPDB
150.171.10.38,0,AbuseIPDB
150.171.16.38,0,AbuseIPDB
13.107.206.38,0,AbuseIPDB
66.28.0.30,0,AbuseIPDB
80.91.64.50,0,AbuseIPDB
203.162.4.1,0,AbuseIPDB
200.33.146.211,0,AbuseIPDB
202.53.8.40,0,AbuseIPDB
205.251.198.180,0,AbuseIPDB
205.251.197.145,0,AbuseIPDB
205.251.198.172,0,AbuseIPDB
184.75.249.113,0,AbuseIPDB
123.59.127.140,0,AbuseIPDB
102.165.7.58,0,AbuseIPDB
205.251.192.92,0,AbuseIPDB
205.251.195.142,0,AbuseIPDB
205.251.198.40,0,AbuseIPDB
185.136.99.79,0,AbuseIPDB
219.150.32.142,0,AbuseIPDB
61.166.150.111,0,AbuseIPDB
126.209.31.54,0,AbuseIPDB
199.253.249.53,0,AbuseIPDB
108.59.162.24,0,AbuseIPDB
45.14.53.4,0,AbuseIPDB
203.128.246.10,0,AbuseIPDB
198.41.223.254,0,AbuseIPDB
103.113.96.29,0,AbuseIPDB
216.218.131.2,0,AbuseIPDB
203.177.255.10,0,AbuseIPDB
44.213.46.149,0,AbuseIPDB
122.228.218.58,0,AbuseIPDB
185.254.97.200,0,AbuseIPDB
196.216.169.10,0,AbuseIPDB
199.253.183.183,0,AbuseIPDB
201.163.58.5,0,AbuseIPDB
79.141.48.1,0,AbuseIPDB
202.112.0.13,0,AbuseIPDB
133.167.21.1,0,AbuseIPDB
213.251.188.146,0,AbuseIPDB
203.162.0.11,0,AbuseIPDB
67.228.254.20,0,AbuseIPDB
120.132.37.195,0,AbuseIPDB
157.185.170.40,0,AbuseIPDB
205.251.192.73,0,AbuseIPDB
205.251.197.244,0,AbuseIPDB
14.0.44.27,0,AbuseIPDB
202.83.21.45,0,AbuseIPDB
213.24.121.34,0,AbuseIPDB
204.74.109.252,0,AbuseIPDB
68.94.156.132,0,AbuseIPDB
194.71.2.53,0,AbuseIPDB
184.154.3.28,0,AbuseIPDB
204.79.197.2,0,AbuseIPDB
66.235.154.1,0,AbuseIPDB
199.187.175.24,0,AbuseIPDB
200.10.60.53,0,AbuseIPDB
203.119.86.101,0,AbuseIPDB
69.16.222.254,0,AbuseIPDB
87.98.168.141,0,AbuseIPDB
205.251.198.81,0,AbuseIPDB
